Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
231,,,,,,,,,,,,,,,,-1542.127441,57.899879,1142.346924
232,,,,,,,,,,,,,,,,-1542.124512,57.871109,1142.338745
233,,,,,,,,,,,,,,,,-1542.120239,57.892429,1142.34668
234,,,,,,,,,,,,,,,,-1542.125977,57.901451,1142.361938
235,,,,,,,,,,,,,,,,-1542.15625,57.930786,1142.37207
236,,,,,,,,,,,,,,,,-1542.144043,57.913227,1142.36438
237,,,,,,,,,,,,,,,,-1542.119629,57.90295,1142.346924
238,,,,,,,,,,,,,,,,-1542.114014,57.88298,1142.350586
239,,,,,,,,,,,,,,,,-1542.112549,57.887581,1142.33606
240,,,,,,,,,,,,,,,,-1542.127075,57.920437,1142.343384
241,,,,,,,,,,,,,,,,-1542.123047,57.941078,1142.361206
242,,,,,,,,,,,,,,,,-1542.134277,57.938751,1142.356567
243,,,,,,,,,,,,,,,,-1542.123413,57.890484,1142.352783
244,,,,,,,,,,,,,,,,-1542.109375,57.874954,1142.353027
245,,,,,,,,,,,,,,,,-1542.106567,57.862907,1142.36853
246,,,,,,,,,,,,,,,,-1542.122559,57.869316,1142.356567
247,,,,,,,,,,,,,,,,-1542.139282,57.914356,1142.392944
248,,,,,,,,,,,,,,,,-1542.16394,57.929821,1142.373657
249,,,,,,,,,,,,,,,,-1542.149902,57.913982,1142.348755
250,,,,,,,,,,,,,,,,-1542.118042,57.891605,1142.340698
251,,,,,,,,,,,,,,,,-1542.108276,57.887936,1142.349121
252,,,,,,,,,,,,,,,,-1542.110107,57.908302,1142.368164
